theme,n,share,median_year,frac_2026,top_cited,top_cite_n,blurb,bucket,cid
LLM Self-Refinement & Self-Improvement,127,0.14580941446613088,2026.0,0.7795275590551181,SymbolicAI: A framework for logic-based approaches combining generative models and solvers,6.0,"Explores methods where LLMs and agents iteratively critique, refine, verify, and improve their own outputs, plans, or policies through self-reward, feedback loops, and search-based reasoning.",Modality-specific self-refinement,13
Self-Rewarding RL Self-Improvement,89,0.10218140068886337,2026.0,0.5280898876404494,ReST-MCTS*: LLM Self-Training via Process Reward Guided Tree Search,6.0,"Develops methods where LLMs and agents iteratively self-train using self-generated rewards, preferences, and process supervision to improve reasoning and decision-making without additional human-labeled data.",Self-supervised training loops,3
Self-Improving Multimodal Vision-Language Models,85,0.09758897818599312,2026.0,0.7058823529411765,"Perception, Verdict, and Evolution: Hindsight-Driven Self-Refining Forensics Agent for AI-Generated Image Detection",0.0,"Develops agentic and self-refining training methods that let vision-language and video models iteratively critique, evolve, and improve their own reasoning, generation, and perception without added human supervision.",Modality-specific self-refinement,2
Self-Improving LLM Agent Systems,82,0.09414466130884042,2026.0,0.8170731707317073,Truly Self-Improving Agents Require Intrinsic Metacognitive Learning,3.0,"Explores architectures and methods by which LLM-based agents iteratively refine their own strategies, memory, and multi-agent orchestration to recursively improve performance over time.",Self-evolving agents,7
AI Scientist Agents,76,0.08725602755453502,2026.0,0.8947368421052632,ScienceAgentBench: Toward Rigorous Assessment of Language Agents for Data-Driven Scientific Discovery,6.0,"Develops and benchmarks autonomous or multi-agent AI systems that conduct end-to-end scientific research, from hypothesis generation to experimentation and reporting.",Automated discovery,1
Self-Training for Chain-of-Thought Reasoning,73,0.08381171067738231,2026.0,0.5068493150684932,Re-ReST: Reflection-Reinforced Self-Training for Language Agents,3.0,"This research thread develops self-training and reflection-based methods that let LLMs iteratively generate, critique, and learn from their own chain-of-thought reasoning to improve accuracy and efficiency without added human supervision.",Self-supervised training loops,5
LLM-Driven Evolutionary Program Discovery,62,0.0711825487944891,2026.0,0.5806451612903226,Evolution of Heuristics: Towards Efficient Automatic Algorithm Design Using Large Language Model,13.0,"Uses LLMs combined with evolutionary search to automatically discover and refine algorithms, heuristics, and programs across domains like optimization, compilers, and scientific discovery.",Automated discovery,0
Recursive Self-Improvement & Machine Consciousness,60,0.06888633754305395,2026.0,0.5666666666666667,Boundless Socratic Learning with Language Games,1.0,"Explores theoretical and algorithmic approaches to AI systems that recursively refine, align, or reflect upon themselves, alongside questions of machine consciousness and the limits of self-improvement.","Foundations, safety & limits",8
On-policy self-distillation for LLM reasoning,56,0.0642939150401837,2026.0,1.0,"Power Distribution Bridges Sampling, Self-Reward RL, and Self-Distillation",0.0,"Studies methods where a language model iteratively distills its own (often privileged or temperature/context-augmented) on-policy reasoning traces into itself as student, to self-improve token-level policy and reasoning performance without an external teacher.",Self-supervised training loops,6
LLM Code Self-Refinement via Feedback,48,0.05510907003444317,2026.0,0.875,Scaling LLM Test-Time Compute Optimally can be More Effective than Scaling Model Parameters,17.0,"Studies how LLMs iteratively generate, test, and repair code (and related artifacts like specs and simulators) using execution feedback and self-refinement loops to improve correctness and robustness.",Modality-specific self-refinement,11
Self-Play for LLM Self-Improvement,39,0.04477611940298507,2026.0,0.9230769230769231,Learn from Your Mistakes: Tree-like Self-Play for Secure Code LLMs,0.0,"Studies how LLMs improve reasoning and coding abilities through self-play mechanisms like proposer-solver loops, adversarial curricula, and Nash-equilibrium-seeking training dynamics.",Self-supervised training loops,9
Synthetic Data & Embodied Self-Improvement,39,0.04477611940298507,2026.0,0.8205128205128205,PRISM: Rethinking Atmospheric Scattering Reconstruction as a Unified Understanding and Restoration Model for Real-world Dehazing,0.0,"Research on agents and models that iteratively refine themselves using synthetic data, self-generated feedback, and embodied real-world experience to improve robotic and language task performance.",Self-supervised training loops,12
Self-Evolving LLM Agents,35,0.040183696900114814,2026.0,0.9142857142857143,AlgoSkill: Learning to Design Algorithms by Scheduling Human-Like Skills,0.0,"Studies methods for LLM agents to autonomously build skill libraries, accumulate experience, and iteratively self-improve their reasoning and tool-use capabilities over time.",Self-evolving agents,4
